outcome,player_name,x,y,distance,angle,pressure,shot_technique_89.0,shot_technique_90.0,shot_technique_91.0,shot_technique_92.0,shot_technique_93.0,shot_technique_94.0,shot_technique_95.0,play_pattern_1,play_pattern_2,play_pattern_3,play_pattern_4,play_pattern_5,play_pattern_6,play_pattern_7,play_pattern_8,play_pattern_9
0,Pedro González López,98.9,42.8,0.2715462925137141,-1.0768796648591015,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,105.5,42.9,-0.48561506284181005,-0.8830817378308251,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Antoine Griezmann,116.5,31.4,-1.1267645142430174,2.0384525053155653,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ousmane Dembélé,108.0,54.9,0.020598824931246297,1.17551622888431,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,Lionel Andrés Messi Cuccittini,95.2,41.5,0.6864180279537438,-1.2886035153181727,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,113.1,28.9,-0.6857295038228727,1.53620297432056,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,Lionel Andrés Messi Cuccittini,112.3,45.1,-1.1324898943059556,0.2643545360976604,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Antoine Griezmann,108.0,31.0,-0.46081336961097047,0.43753833625246613,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,Santiago Mina Lorenzo,97.2,37.6,0.4627643048446037,-1.1569674775767185,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,97.4,45.4,0.49891179475093783,-0.7731200395024189,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Moriba Kourouma Kourouma,97.4,49.7,0.6570975091769024,-0.26724370285221966,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ronald Federico Araújo da Silva,117.8,38.0,-1.8622411249948863,0.7167388476197658,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
